Generation40,0.579204,0.577538,0.576664,0.578203,0.578191,0.575829,0.577647,0.577269,0.575834,0.576726,0.576238,0.577322,0.578053,0.576948,0.575844,
Generation41,0.579277,0.57746,0.576306,0.579015,0.57569,0.575476,0.576777,0.578709,0.57722,0.576888,0.576866,0.491889,0.576766,0.578351,0.576916,
Generation42,0.578099,0.579003,0.578802,0.511385,0.577384,0.576804,0.515697,0.454136,0.57839,0.578986,0.473769,0.579233,0.521327,0.579987,0.576267,
Generation43,0.474523,0.579629,0.578662,0.577366,0.577568,0.578778,0.578711,0.559522,0.577254,0.578053,0.578153,0.57877,0.579638,0.579307,0.485479,
Generation44,0.577834,0.580818,0.579612,0.577009,0.578615,0.57842,0.578869,0.578609,0.57757,0.579744,0.57821,0.511011,0.578617,0.578679,0.578482,
Generation45,0.577423,0.579295,0.579542,0.578714,0.579504,0.576675,0.577379,0.579179,0.578316,0.579579,0.578046,0.578646,0.579998,0.577874,0.578454,
Generation46,0.578759,0.578833,0.580619,0.431081,0.547969,0.579929,0.578397,0.578457,0.578729,0.556498,0.579858,0.578138,0.576438,0.578786,0.579346,
Generation47,0.579153,0.580356,0.578696,0.578633,0.579678,0.578351,0.57874,0.57327,0.577709,0.579483,0.540163,0.579944,0.500185,0.578322,0.57561,
Generation48,0.578411,0.577468,0.577352,0.579659,0.577827,0.577825,0.577929,0.57827,0.578161,0.578343,0.577635,0.578352,0.577022,0.479396,0.577815,
Generation49,0.570656,0.579163,0.580176,0.506047,0.557897,0.578051,0.578625,0.578193,0.581164,0.57704,0.577501,0.577767,0.579398,0.578382,0.58002,
Generation50,0.579483,0.504742,0.577838,0.456311,0.57904,0.575169,0.580248,0.578174,0.579307,0.486702,0.577845,0.505475,0.490373,0.578586,0.578302,
Generation51,0.579075,0.578804,0.579258,0.577874,0.57828,0.491115,0.579429,0.497212,0.577257,0.483776,0.578381,0.496567,0.579416,0.577519,0.57888,
Generation52,0.577943,0.578712,0.578336,0.539733,0.57905,0.534879,0.577736,0.576692,0.57862,0.5621,0.577909,0.499916,0.577372,0.577815,0.578004,
Generation53,0.575864,0.577656,0.508517,0.578777,0.576717,0.578647,0.516829,0.579436,0.57757,0.579855,0.579914,0.579427,0.578021,0.579774,0.567926,
Generation54,0.578178,0.578519,0.577337,0.578727,0.579926,0.578141,0.579335,0.578808,0.580882,0.57669,0.57941,0.412163,0.578344,0.57891,0.57849,
Generation55,0.579056,0.579462,0.540465,0.578837,0.580855,0.576859,0.579113,0.579727,0.564697,0.578316,0.578084,0.579324,0.578165,0.578206,0.577651,
Generation56,0.578073,0.577624,0.577862,0.579544,0.578007,0.578379,0.576024,0.580945,0.578745,0.579776,0.504055,0.479661,0.577289,0.579041,0.579945,
Generation57,0.579777,0.580211,0.490587,0.578573,0.578331,0.534864,0.579164,0.578193,0.578662,0.579173,0.484309,0.57787,0.57617,0.579368,0.578858,
Generation58,0.577081,0.578364,0.578252,0.441452,0.477638,0.578452,0.460509,0.579695,0.428698,0.577697,0.579129,0.578773,0.433066,0.574932,0.490364,
Generation59,0.579318,0.579388,0.57615,0.58115,0.577391,0.430571,0.546818,0.579953,0.569123,0.578394,0.581362,0.579919,0.578408,0.579328,0.579522,
Generation60,0.576114,0.578161,0.578777,0.579646,0.580018,0.578116,0.553939,0.578693,0.578701,0.578687,0.579887,0.5547,0.577687,0.578327,0.507581,
Generation61,0.578938,0.578858,0.578623,0.53175,0.578553,0.577703,0.579204,0.577641,0.578568,0.579556,0.577447,0.578211,0.477051,0.578503,0.578582,
Generation62,0.429075,0.578702,0.578713,0.577394,0.578747,0.580304,0.442445,0.578835,0.579424,0.57953,0.578846,0.57816,0.577789,0.477383,0.578525,
Generation63,0.52931,0.576338,0.580594,0.5781,0.578557,0.579793,0.579265,0.565497,0.486103,0.578534,0.579892,0.578624,0.581015,0.579967,0.578641,
Generation64,0.505264,0.577364,0.570409,0.448137,0.578885,0.576314,0.578706,0.578431,0.577519,0.577975,0.5771,0.58039,0.579174,0.579616,0.578823,
Generation65,0.577045,0.430939,0.576915,0.57598,0.578424,0.480016,0.579305,0.578498,0.579192,0.579251,0.476125,0.577405,0.579113,0.577173,0.57886,
Generation66,0.578295,0.579449,0.578792,0.578301,0.578676,0.577852,0.512742,0.57779,0.446611,0.579584,0.57924,0.577662,0.577076,0.488893,0.578755,
Generation67,0.577709,0.579209,0.578688,0.579101,0.580539,0.577997,0.578214,0.578922,0.577559,0.57824,0.577497,0.493166,0.579211,0.578499,0.578338,
Generation68,0.579708,0.482612,0.579169,0.578844,0.579297,0.577987,0.576159,0.577731,0.531625,0.579097,0.578559,0.576996,0.443419,0.488114,0.577297,
Generation69,0.578775,0.578682,0.569398,0.546155,0.578004,0.57882,0.485685,0.577457,0.578702,0.575622,0.456344,0.57886,0.579364,0.578523,0.579847,
Generation70,0.577637,0.578512,0.578765,0.577613,0.483891,0.578473,0.579271,0.580496,0.57761,0.551587,0.57814,0.578323,0.497146,0.578337,0.579282,
